Type,Country,Activity,Sex,Age,Fatal,Species
Unprovoked,USA,Surfing,F,13,N,unknown
Provoked,USA,Surfing,M,43,N,unknown
Unprovoked,USA,Standing,M,25,N,unknown
Unprovoked,USA,Casting a net,M,9,N,unknown
Unprovoked,USA,Snorkeling,F,20,N,tiger shark
Unprovoked,USA,Surfing,M,10,N,bull shark
Unprovoked,USA,Fishing,M,17,N,bull shark
Unprovoked,USA,Surfing,M,18,N,tiger shark
Unprovoked,USA,Swimming,M,14,N,unknown
Unprovoked,USA,Swimming,M,28,N,tiger shark
Unprovoked,USA,Boogie Boarding,F,10,N,unknown
Provoked,USA,Fishing for sharks,M,58,N,lemon shark
Unprovoked,USA,Diving,M,32,N,galapagos shark
Unprovoked,USA,Surfing,M,16,N,unknown
Unprovoked,USA,Playing in the surf,M,9,N,unknown
Unprovoked,USA,Surfing,M,21,N,bull shark
Unprovoked,USA,Surfing,M,58,N,unknown
Unprovoked,USA,Surfing,M,16,N,blacktip shark
Unprovoked,USA,Surfing,M,43,N,tiger shark
Unprovoked,USA,Surfing,M,60,N,unknown
Unprovoked,USA,Snorkeling,M,61,N,tiger shark
Unprovoked,USA,Surfing,M,14,N,unknown
Unprovoked,USA,Diving,M,30,N,tiger shark
Unprovoked,USA,Surfing,M,43,N,tiger shark
Unprovoked,USA,Surfing,M,25,N,white shark
Unprovoked,USA,Swimming,F,51,N,tiger shark
Unprovoked,USA,Surfing,M,39,N,white shark
Unprovoked,USA,Paddle boarding,M,55,N,unknown
Unprovoked,USA,Surfing,M,21,N,unknown
Unprovoked,USA,Surfing,M,22,N,unknown
Unprovoked,USA,Boogie boarding,F,8,N,unknown
Unprovoked,USA,Swimming or boogie boarding,F,56,N,unknown
Unprovoked,USA,Free diving,M,56,N,lemon shark
Unprovoked,USA,Body surfing,M,50,N,white shark
Boating,USA,Kayaking,M,52,N,unknown
Unprovoked,USA,Swimming,M,6,N,bull shark
Unprovoked,USA,Sitting in the water,F,16,N,reef shark
Provoked,USA,Fishing,M,23,N,nurse shark
Unprovoked,USA,Swimming,F,18,N,blacktip shark
Unprovoked,USA,Swimming,M,16,N,blacktip shark
Unprovoked,USA,Wading,F,33,N,unknown
Unprovoked,USA,Surfing,M,22,N,unknown
Boating,USA,Kayaking / Fishing,M,30,N,white shark
Unprovoked,USA,Paddle boarding,F,15,N,white shark
Unprovoked,USA,Surfing,M,28,N,unknown
Unprovoked,USA,Surfing,M,28,N,tiger shark
Unprovoked,USA,Surfing,M,61,N,bull shark
Unprovoked,USA,Surfing,F,15,N,unknown
Unprovoked,USA,Surfing,M,17,N,unknown
Unprovoked,USA,Kite Surfing,M,19,N,unknown
Unprovoked,USA,Surfing,M,53,N,white shark
Unprovoked,USA,Surfing,M,27,N,white shark
Unprovoked,USA,Surfing,M,41,N,white shark
Unprovoked,USA,Spearfishing,M,21,N,bull shark
Unprovoked,USA,Surfing,M,25,N,unknown
Unprovoked,USA,Surfing,M,19,N,blactip shark
