Type,Country,Activity,Sex,Age,Fatal,Species
Unprovoked,USA,Swimming with mask & snorkel,M,53,Y,tiger shark
Unprovoked,USA,Surfing,M,39,Y,unknown
Unprovoked,USA,Surfing,M,14,Y,unknown
Unprovoked,USA,Windsurfing,M,25,Y,white shark
Unprovoked,USA,Surfing,M,19,Y,unknown
Unprovoked,USA,Scuba diving,M,25,Y,bull shark
Unprovoked,USA,Abalone diving using Hookah (resting on the surface),M,32,Y,white shark
Unprovoked,USA,Surfing,M,19,Y,unknown
Unprovoked,USA,Surfing,M,16,Y,unknown
Unprovoked,USA,Surfing,M,18,Y,unknown
Unprovoked,USA,Swimming,M,16,Y,unknown
Unprovoked,USA,Swimming,M,23,Y,sand shark
Unprovoked,USA,Surfing,M,19,Y,unknown
Unprovoked,USA,Wading,M,20,Y,unknown
Unprovoked,USA,"""Riding waves on a board""",F,14,Y,blacktip shark
Unprovoked,USA,Body boarding,M,12,Y,unknown
Provoked,USA,Fishing,F,32,Y,blacktip shark
Unprovoked,USA,Scuba diving (ascending using scooter),M,31,Y,white shark
Unprovoked,USA,Playing / jumping,M,13,Y,sand shark
Unprovoked,USA,Swimming,M,45,Y,unknown
Unprovoked,USA,Swimming,F,10,Y,unknown
Unprovoked,USA,Swimming,M,38,Y,tiger shark
Unprovoked,USA,Surfing,M,15,Y,bull shark
Unprovoked,USA,Commercial diver (submerged or treading water),M,42,Y,white shark
Unprovoked,USA,"Surfing, paddling seawards",F,34,Y,unknown
Provoked,USA,Wading,F,9,Y,sand shark
Unprovoked,USA,Surfing,M,43,Y,white shark
Unprovoked,USA,Jumped off rocks into white water,F,12,Y,unknown
Unprovoked,USA,Surfing,M,15,Y,unknown
Unprovoked,USA,Surfing,M,28,Y,spinner shark
Unprovoked,USA,Spearfishing,M,35,Y,unknown
Unprovoked,USA,Wading,F,36,Y,unknown
Unprovoked,USA,Surfing,M,22,Y,unknown
Provoked,USA,Removing shark from tank in nightclub,M,33,Y,lemon shark
Unprovoked,USA,Surfing,M,23,Y,unknown
Unprovoked,USA,Surfing,M,26,Y,white shark
Unprovoked,USA,Swimming,F,26,Y,bull shark
Boating,USA,Kayaking,F,34,Y,white shark
Unprovoked,USA,Wading,M,19,Y,unknown
Unprovoked,USA,Riding floatation device,F,19,Y,bull shark
Unprovoked,USA,Free diving for abalone (ascending),M,39,Y,white shark
Unprovoked,USA,Playing,F,12,Y,tooth shark
Unprovoked,USA,Paddling on surfboard or body board,M,22,Y,tiger shark
Unprovoked,USA,Swimming,F,60's,Y,unknown
Unprovoked,USA,Paddling on surfboard,M,35,Y,tiger shark
Unprovoked,USA,Free diving & spearfishing (ascending),M,55,Y,white shark
Unprovoked,USA,Surfing,M,29,Y,white shark
Unprovoked,USA,"Standing in waist-deep water, helping his father tend a gill net containing dead fish",M,10,Y,tiger shark
Unprovoked,USA,Lying on surfboard,M,30,Y,tiger shark
Unprovoked,USA,Spearfishing / free diving,M,31,Y,mako shark
Unprovoked,USA,Surfing,M,19,Y,blacktip shark
Unprovoked,USA,Surfing,M,24,Y,unknown
Boating,USA,Kayaking,M,46,Y,white shark
Unprovoked,USA,Scuba diving (submerged),M,40,Y,unknown
Unprovoked,USA,Body boarding,M,18,Y,tiger shark
Unprovoked,USA,Hookah diving for sea urchins,M,40,Y,white shark
Unprovoked,USA,Surfing,M,28,Y,tiger shark
Unprovoked,USA,Surfing,M,20,Y,white shark
Unprovoked,USA,Surfing,M,22,Y,white shark
Provoked,USA,Snorkeling,M,26,Y,nurse shark
Unprovoked,USA,Standing,F,42,Y,unknown
Unprovoked,USA,"Surfing, paddling seawards",F,36,Y,tiger shark
Unprovoked,USA,Surfing (sitting on his board),M,21,Y,white shark
Unprovoked,USA,Hookah diving for sea urchins,M,25,Y,white shark
Unprovoked,USA,Snorkeling,F,41,Y,tiger shark
Unprovoked,USA,Surfing,M,21,Y,unknown
Unprovoked,USA,Surfing,M,32,Y,white shark
Unprovoked,USA,Swimming,M,23,Y,sand shark
Unprovoked,USA,Wading,F,10,Y,unknown
Unprovoked,USA,Snorkeling,M,39,Y,reef shark
Unprovoked,USA,Swimming from makeshift raft  to life vest after fishing boat sank,M,42,Y,blacktip shark
Unprovoked,USA,Surfing,M,32,Y,white shark
Unprovoked,USA,Boogie boarding,M,13,Y,unknown
Unprovoked,USA,Swimming behind sailboat,M,31,Y,lemon shark
Unprovoked,USA,Sitting on surfboard,M,23,Y,unknown
Unprovoked,USA,"Surfing, collided with shark",M,22,Y,unknown
Unprovoked,USA,Surfing,M,38,Y,white shark
Unprovoked,USA,Surfing,M,24,Y,unknown
Unprovoked,USA,Surfing,M,50,Y,unknown
Unprovoked,USA,Surfing,M,25,Y,spinner shark
Unprovoked,USA,Surfing,M,43,Y,tiger shark
Unprovoked,USA,Surfing,M,19,Y,unknown
Unprovoked,USA,"Free diving / spearfishing, from paddleboard & floating on the surface",M,49,Y,white shark
Boating,USA,Kayaking,M,44,Y,white shark
Unprovoked,USA,Surfing,M,22,Y,white shark
Unprovoked,USA,Surfing,M,12,Y,unknown
Provoked,USA,"Fishing, stepped on hooked shark's head",M,51,Y,lb shark
Unprovoked,USA,Hookah diving for abalone (descending),M,38,Y,white shark
Unprovoked,USA,Surfing,M,31,Y,sandbar shark
Provoked,USA,Filming 5' blue shark,M,46,Y,blue shark
Unprovoked,USA,Swimming,M,21,Y,unknown
Unprovoked,USA,Playing,F,9,Y,unknown
Unprovoked,USA,Spearfishing,M,45,Y,sandtiger shark
Unprovoked,USA,Swimming,M,19,Y,unknown
Unprovoked,USA,Kayaking,F,24,Y,white shark
Unprovoked,USA,Body boarding,M,10,Y,hammerhead shark
Unprovoked,USA,Surfing (sitting on his board),M,21,Y,white shark
Unprovoked,USA,Surfing,M,15,Y,unknown
Unprovoked,USA,Surfing,M,30,Y,unknown
Unprovoked,USA,Surfing,M,23,Y,unknown
Unprovoked,USA,Wading,F,23,Y,unknown
Unprovoked,USA,Surfing,M,21,Y,unknown
Unprovoked,USA,Snorkeling,M,38,Y,bull shark
Unprovoked,USA,Surfing,M,27,Y,white shark
Unprovoked,USA,Scuba diving,M,42,Y,sandtiger shark
Unprovoked,USA,Sittting in water with his child,M,37,Y,sand shark
Unprovoked,USA,Surfing,M,25,Y,unknown
Unprovoked,USA,Surfing,M,16,Y,blacktip shark
Unprovoked,USA,Surfing,M,20,Y,unknown
Unprovoked,USA,Wading,M,12,Y,unknown
Unprovoked,USA,Surfing (sitting on his board),M,40,Y,white shark
Unprovoked,USA,Surfing,M,27,Y,unknown
Unprovoked,USA,Body surfing,F,32,Y,unknown
Unprovoked,USA,Wading,F,16,Y,unknown
Unprovoked,USA,Surfing,M,40,Y,blacktip shark
Unprovoked,USA,Free diving  & spearfishing (submerged),M,27,Y,white shark
Unprovoked,USA,Swimming,F,6,Y,lemon shark
Unprovoked,USA,Surfing,M,28,Y,bull shark
Unprovoked,USA,Surfing,M,22,Y,blacktip shark
Unprovoked,USA,Surfing,M,16,Y,unknown
Unprovoked,USA,Hookah diving for abalone,M,46,Y,sevengill shark
Unprovoked,USA,Body boarding,M,33,Y,tiger shark
Unprovoked,USA,Floating on inner tube after diving for lobster,M,24,Y,unknown
Unprovoked,USA,Wading,F,13,Y,hammerhead shark
Unprovoked,USA,Playing in knee-deep water,F,10,Y,tiger shark
Unprovoked,USA,Scuba Diving for lobster (at surface),M,29,Y,white shark
Unprovoked,USA,Surfing,M,13,Y,unknown
Provoked,USA,Spearfishing,M,29,Y,unknown
Unprovoked,USA,Surfing or body surfing,F,23,Y,unknown
Unprovoked,USA,Surfing,M,15,Y,blacktip shark
Unprovoked,USA,Surfing (sitting on his board),M,25,Y,white shark
Unprovoked,USA,Surfing,M,16,Y,hammerhead shark
Unprovoked,USA,Skindiving,M,28,Y,white shark
Unprovoked,USA,Swimming,F,18,Y,unknown
Unprovoked,USA,Towing her sister on plastic ski board,F,13,Y,hammerhead shark
Unprovoked,USA,Surfing,M,15,Y,tiger shark
Unprovoked,USA,Surfing,M,16,Y,unknown
Unprovoked,USA,Wading,M,20,Y,unknown
Unprovoked,USA,Swimming,F,14,Y,sand shark
Provoked,USA,Skindiving,M,14,Y,nurse shark
Unprovoked,USA,Diving,F,22,Y,bull shark
Unprovoked,USA,Windsurfing,F,39,Y,hammerhead shark
Unprovoked,USA,Water-skiing,M,21,Y,unknown
Unprovoked,USA,Windsurfing,M,26,Y,unknown
Unprovoked,USA,Surfing,M,20,Y,unknown
Unprovoked,USA,Diving,M,36,Y,white shark
Unprovoked,USA,Free diving for abalone from Zodiac (submerged),M,28,Y,white shark
Unprovoked,USA,Paddle Boarding,M,26,Y,white shark
Unprovoked,USA,Swimming,M,17,Y,unknown
Unprovoked,USA,Swimming,M,20,Y,unknown
Unprovoked,USA,Surfing,M,18,Y,unknown
Unprovoked,USA,Surfing,M,24,Y,white shark
Unprovoked,USA,Diving to untangle a crab trap line from boat's propeller,M,59,Y,flat shark
Unprovoked,USA,Swimming,M,19,Y,unknown
Unprovoked,USA,Surfing,M,24,Y,unknown
Unprovoked,USA,Swimming,M,26,Y,tiger shark
Unprovoked,USA,Surfing,M,15,Y,unknown
Provoked,USA,Spearfishing,M,19,Y,unknown
Unprovoked,USA,Swimming,F,16,Y,unknown
Unprovoked,USA,Standing / Wading,M,19,Y,dusky shark
Unprovoked,USA,Surfing,M,24,Y,unknown
Unprovoked,USA,Surfing,M,15,Y,hammerhead shark
Unprovoked,USA,Commercial spearfishing,M,25,Y,tiger shark
Unprovoked,USA,Surfing,M,29,Y,white shark
Unprovoked,USA,Surfing,M,19,Y,white shark
Unprovoked,USA,Standing,F,22,Y,unknown
Provoked,USA,Scuba diving,F,44,Y,blue shark
Unprovoked,USA,Surfing,M,20,Y,white shark
Unprovoked,USA,Surfing,M,27,Y,spinner shark
Unprovoked,USA,Free diving for abalone (surfacing),M,20,Y,white shark
Provoked,USA,Spearfishing / Scuba diving,M,27,Y,bull shark
Unprovoked,USA,Collecting fish from net,M,25,Y,bull shark
Unprovoked,USA,Hookah diving for abalone (submerged),M,29,Y,white shark
Unprovoked,USA,Surfing,M,19,Y,lemon shark
Unprovoked,USA,Surfing,M,25,Y,white shark
Unprovoked,USA,Surfing,M,15,Y,tiger shark
Unprovoked,USA,Surfing,M,19,Y,white shark
Unprovoked,USA,Spearfishing,M,23,Y,unknown
Unprovoked,USA,Skindiving,M,17,Y,unknown
Unprovoked,USA,Spearfishing / scuba diving,M,25,Y,unknown
Unprovoked,USA,Scuba diving & spearfishing,M,27,Y,white shark
Unprovoked,USA,Surfing,M,18,Y,unknown
Unprovoked,USA,Floating on a small orange raft,M,20,Y,unknown
Unprovoked,USA,Free diving for abalone,M,44,Y,white shark
Unprovoked,USA,Scuba diving for abalone (at surface),M,23,Y,white shark
Unprovoked,USA,Hookah diving for abalone,M,34,Y,white shark
Unprovoked,USA,Swimming,F,14,Y,unknown
Unprovoked,USA,Swimming,M,18,Y,unknown
Unprovoked,USA,Floating in inner tube,M,14,Y,unknown
Unprovoked,USA,Surfing,M,17,Y,white shark
Unprovoked,USA,Hookah diving for abalone,M,29,Y,white shark
Unprovoked,USA,Scuba diving (but on surface),M,41,Y,white shark
Unprovoked,USA,Scuba diving (but on surface),M,48,Y,white shark
Unprovoked,USA,Surfing,M,24,Y,white shark
Unprovoked,USA,Free diving for abalone (submerged),M,36,Y,white shark
Unprovoked,USA,Swimming,M,17,Y,unknown
Sea Disaster,USA,Adrift after the sinking of the motor yacht Princess Dianne,M,10,Y,unknown
Unprovoked,USA,Free diving (but on surface),M,45,Y,white shark
Unprovoked,USA,Crabbing (spearing crabs),M,17,Y,blacktip shark
Unprovoked,USA,Surfing,M,22,Y,unknown
Unprovoked,USA,Free diving for abalone,M,32,Y,white shark
Unprovoked,USA,Surfing,M,18,Y,unknown
Unprovoked,USA,Scuba diving,M,30,Y,white shark
Provoked,USA,Fishing,M,13,Y,unknown
Unprovoked,USA,Free diving for abalone,M,53,Y,white shark
Unprovoked,USA,Body surfing,M,13,Y,unknown
Provoked,USA,Diving,M,23,Y,nurse shark
Provoked,USA,Fishing,M,adult,Y,lemon shark
Unprovoked,USA,Surfing,M,16,Y,white shark
Unprovoked,USA,Free diving,M,25,Y,white shark
Unprovoked,USA,Spearfishing using Scuba,M,33,Y,unknown
Unprovoked,USA,Standing on sandbar,M,19,Y,blacktip shark
Provoked,USA,Pulling shark from the water,M,24,Y,blue shark
Unprovoked,USA,Spearfishing,M,15,Y,nurse shark
Provoked,USA,Spearfishing,M,26,Y,nurse shark
Provoked,USA,Hunting crayfish,M,14,Y,nurse shark
Unprovoked,USA,Wading,M,8,Y,blacktip shark
Unprovoked,USA,Diving for sand dollars,M,16,Y,lemon shark
Provoked,USA,Killing a shark,M,34,Y,unknown
Provoked,USA,Clamming,M,15,Y,for shark
Provoked,USA,Fishing,M,18,Y,hammerhead shark
Unprovoked,USA,Swimming,M,18,Y,unknown
Unprovoked,USA,Free diving / spearfishing (resting on the surface),M,29,Y,white shark
Unprovoked,USA,Swimming,M,35,Y,hammerhead shark
Unprovoked,USA,Spearfishing,M,28,Y,white shark
Unprovoked,USA,Paddling on surfboard,M,17,Y,spinner shark
Unprovoked,USA,Free diving,M,16,Y,mako shark
Unprovoked,USA,Scuba diving,M,18,Y,unknown
Unprovoked,USA,Spearfishing using scuba,M,28,Y,hammerhead shark
Unprovoked,USA,Skin diving,M,38,Y,unknown
Unprovoked,USA,Floating,M,12,Y,hammerhead shark
Unprovoked,USA,Spearfishing / Scuba diving (at surface),M,21,Y,white shark
Unprovoked,USA,"Surf fishing, wading ",M,28,Y,lb shark
Provoked,USA,"Spearfishing, pulled sharks tail",M,16,Y,nurse shark
Provoked,USA,"Fishing, on charter boat Silver Dollar",M,24,Y,unknown
Unprovoked,USA,Swimming,M,25,Y,galapagos shark
Unprovoked,USA,Surfing,M,15,Y,seen shark
Unprovoked,USA,Spearfishing / Scuba diving (at surface),M,24,Y,white shark
Provoked,USA,Diving for abalone,M,39,Y,unknown
Unprovoked,USA,Surf fishing in waist-deep water,M,40,Y,unknown
Unprovoked,USA,Standing,M,24,Y,unknown
Unprovoked,USA,Standing,M,21,Y,unknown
Provoked,USA,Fishing for albacore,M,19,Y,blue shark
Unprovoked,USA,Rolled off raft,M,11,Y,unknown
Provoked,USA,"Scuba diving, attempting to catch a captive shark",M,55,Y,sevengill shark
Unprovoked,USA,Spearfishing / Scuba diving (at surface),M,29,Y,white shark
Unprovoked,USA,Swimming,M,16,Y,white shark
Unprovoked,USA,Wading,M,19,Y,white shark
Unprovoked,USA,"Net fishing, picking catch from the net",M,38,Y,unknown
Provoked,USA,Spearfishing,M,57,Y,unknown
Unprovoked,USA,Free diving for abalone,M,20,Y,white shark
Unprovoked,USA,Walking in chest-deep water,M,52,Y,hammerhead shark
Unprovoked,USA,Spearfishing,M,22,Y,tiger shark
Provoked,USA,Holding shark on leader & dangling it above the water,M,15,Y,lemon shark
Unprovoked,USA,"Fishing, Struck by another shark when removing shark from line",M,46,Y,unknown
Provoked,USA,"Fishing, tossing netted shark onboard",M,41,Y,sand shark
Unprovoked,USA,Scuba diving,M,39,Y,mako shark
Unprovoked,USA,Swimming,F,16,Y,white shark
Unprovoked,USA,Skindiving for abalone (but at surface),M,48,Y,white shark
Unprovoked,USA,Treading water,M,42,Y,larger shark
Unprovoked,USA,Swimming at surface through school of feeding 2.5' to 5 sharks,M,21,Y,blue shark
Unprovoked,USA,Diving for abalone,M,30,Y,white shark
Sea Disaster,USA,"Adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore",M,30,Y,hammerhead shark
Unprovoked,USA,Spearfishing on Scuba,M,26,Y,unknown
Provoked,USA,"Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ides speargun & he shot it in the mouth",M,32,Y,hammerhead shark
Unprovoked,USA,Spearfishing (but on surface),M,25,Y,hammerhead shark
Provoked,USA,Free diving,M,13,Y,nurse shark
Unprovoked,USA,Free diving for abalone,M,33,Y,white shark
Unprovoked,USA,Treading water,M,18,Y,white shark
Unprovoked,USA,Spearfishing,M,19,Y,tiger shark
Unprovoked,USA,Surfing on air mattress,M,15,Y,tiger shark
Unprovoked,USA,"Swimming, ducking for shells in water 0.9 m deep",M,12,Y,tiger shark
Unprovoked,USA,"Swimming, ducking for shells in water 0.9 m deep",M,8,Y,tiger shark
Provoked,USA,Free diving,M,20,Y,nurse shark
Provoked,USA,Wading,M,59,Y,nurse shark
Unprovoked,USA,Walking,M,17,Y,tiger shark
Provoked,USA,Free diving,M,29,Y,nurse shark
Provoked,USA,Spearfishing on Scuba,M,18,Y,nurse shark
Unprovoked,USA,Swimming,M,57,Y,white shark
Unprovoked,USA,Swimming,M,25,Y,white shark
Provoked,USA,Standing,M,17,Y,unknown
Unprovoked,USA,Surf fishing,M,27,Y,sand shark
Unprovoked,USA,Swimming near pier,M,10,Y,white shark
Provoked,USA,Fishing,M,38,Y,lb shark
Provoked,USA,Surfing,M,25,Y,blue shark
Unprovoked,USA,Wading,M,13,Y,sand shark
Provoked,USA,Spearfishing,M,28,Y,unknown
Unprovoked,USA,Spearfishing,M,19,Y,white shark
Unprovoked,USA,Swimming,M,35,Y,unknown
Unprovoked,USA,Surf fishing,M,15,Y,sand shark
Unprovoked,USA,Spearfishing,M,15,Y,seen shark
Unprovoked,USA,Body surfing & treading water,M,17,Y,white shark
Unprovoked,USA,Swimming from fishing boat setting nets,M,40,Y,unknown
Provoked,USA,Fishing,M,43,Y,unknown
Provoked,USA,Fishing,M,34,Y,unknown
Unprovoked,USA,Body surfing / treading water,M,31,Y,white shark
Unprovoked,USA,Swimming,M,11,Y,hammerhead shark
Unprovoked,USA,"Goggle-diving for seaweeds, but standing in water",M,21,Y,unknown
Unprovoked,USA,Swimming,M,16,Y,sand shark
Provoked,USA,Fishing,M,16,Y,bonita shark
Provoked,USA,Underwater photography,M,48,Y,nurse shark
Unprovoked,USA,Swimming,M,20,Y,unknown
Provoked,USA,Fishing,M,46,Y,unknown
Unprovoked,USA,Bathing,F,15,Y,blacktip shark
Provoked,USA,Fishing from 32' boat,M,43,Y,unknown
Provoked,USA,Fishing,M,53,Y,mako shark
Unprovoked,USA,Swimming crawl stroke,M,16,Y,white shark
Unprovoked,USA,"Fishing for bluefish, shark leapt into dory",M,31,Y,unknown
Unprovoked,USA,Sitting in 3' of water,M,15,Y,lemon shark
Unprovoked,USA,Swimming,M,24,Y,bull shark
Provoked,USA,Fishing,M,32,Y,dog shark
Unprovoked,USA,Swimming,F,20,Y,hammerhead shark
Unprovoked,USA,Swimming,M,21,Y,tiger shark
Unprovoked,USA,Swimming with dog near canning factory,M,15,Y,white shark
Unprovoked,USA,Floating,F,18,Y,unknown
Unprovoked,USA,Swimming,M,12,Y,involve shark
Unprovoked,USA,Swimming (recovering remains of Stilwell),M,24,Y,unknown
Unprovoked,USA,Swimming,M,24,Y,white shark
Unprovoked,USA,Swimming,M,15,Y,unknown
Unprovoked,USA,Fishing (Seining),M,15,Y,white shark
Unprovoked,USA,Shark tagging,F,21,Y,blacktip shark
Provoked,USA,Skin diving. Grabbed shark's tail; shark turned & grabbed diver's ankle & began towing him to deep water,M,19,Y,nurse shark
